Date,Player,Player_Page,Matchup,Team,Position,Line,Open_Over,Open_Under,Best Odds_Over,Best Odds_Under,Consensus_Over,Consensus_Under,bet365_Over,bet365_Under,DraftKings_Over,DraftKings_Under,BetMGM_Over,BetMGM_Under,FanDuel_Over,FanDuel_Under,theScore Bet_Over,theScore Bet_Under,BetRivers_Over,BetRivers_Under,SugarHouse_Over,SugarHouse_Under,PartyCasino_Over,PartyCasino_Under,Fliff_Over,Fliff_Under,Caesars_Over,Caesars_Under,PointsBet_Over,PointsBet_Under,Hard Rock Bet_Over,Hard Rock Bet_Under,ESPNBet_Over,ESPNBet_Under,Fanatics_Over,Fanatics_Under
2026-06-28,D. Myers,/mlb/odds/player-props/dane-myers/,CIN at PIT,CIN,"LF,CF,RF,DH",0.5,+900,-2500,+1100,-852,+852,-3003,,,,,,,,,,,,,,,,,+755,-3650,,,,,,,,,,
2026-06-28,E. De La Cruz,/mlb/odds/player-props/elly-de-la-cruz/,CIN at PIT,CIN,SS,0.5,+525,-1000,+456,-485,+425,-700,,,,,,,,,+425,-700,,,,,,,+370,-785,,,,,,,,,,
2026-06-28,E. Suarez,/mlb/odds/player-props/eugenio-suarez/,CIN at PIT,CIN,"3B,DH",0.5,+525,-1000,+640,-567,+450,-800,,,,,,,,,+450,-800,,,,,,,+415,-930,,,,,,,,,,
2026-06-28,B. Lowe,/mlb/odds/player-props/brandon-lowe/,CIN at PIT,PIT,2B,0.5,+350,-550,+340,-355,+325,-500,,,,,,,,,+325,-500,,,,,,,+270,-525,,,,,,,,,,
2026-06-28,H. Davis,/mlb/odds/player-props/henry-davis/,CIN at PIT,PIT,C,0.5,+600,-1400,+880,-809,+550,-1200,,,,,,,,,+550,-1200,,,,,,,+530,-1375,,,,,,,,,,
