Date,Matchup,Away,Home,Team,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-06,CLE at MIN,CLE,MIN,MIN,4.5,+110,+105,+100,,+105,,-104,+100,+100,+100,,,,,,,,-140,-120,-130,,-135,,-120,-130,-124,-124,,,,,,,
2024-04-06,CLE at MIN,CLE,MIN,CLE,3.5,+100,+100,-105,,-105,,-108,+100,+100,+100,,,-105,,,,,-130,-120,-130,,-125,,-120,-130,-124,-124,,,-1200,,,,
2024-04-06,MIA at STL,MIA,STL,MIA,3.5,-110,-105,-105,,-110,,-111,-105,-109,-109,,,+500,,,,,-120,-114,-125,,-120,,-115,-125,-114,-114,,,-2000,,,,
2024-04-06,MIA at STL,MIA,STL,STL,4.5,+105,-145,+115,,-145,,+120,+115,+117,+117,,,,,,,,-135,-143,-143,,+114,,-154,-145,-143,-143,,,,,,,
2024-04-06,LAD at CHC,LAD,CHC,CHC,3.5,+130,+120,+110,,+120,,+102,+115,+110,+110,,,,,,,,-165,-130,-136,,-150,,-130,-145,-136,-136,,,,,,,
2024-04-06,LAD at CHC,LAD,CHC,LAD,4.5,-120,+102,+100,,-105,,+102,+100,-105,-105,,,,,,,,-110,-125,-125,,-125,,-130,-130,-125,-125,,,,,,,
2024-04-06,PHI at WSH,PHI,WSH,PHI,4.5,-125,-122,-125,,-125,,-122,-125,-127,-127,,,,,,,,-105,+102,-104,,-105,,-104,-105,+102,+102,,,,,,,
2024-04-06,PHI at WSH,PHI,WSH,WSH,3.5,+100,-150,+105,,-150,,+108,+105,+110,+110,,,,,,,,-130,-130,-130,,+120,,-138,-130,-136,-136,,,,,,,
2024-04-06,BAL at PIT,BAL,PIT,BAL,4.5,-105,-105,-113,,-115,,-113,-105,-120,-120,,,,,,,,-125,-105,-115,,-115,,-113,-125,-105,-105,,,,,,,
2024-04-06,BAL at PIT,BAL,PIT,PIT,3.5,-130,-120,-130,,-125,,-140,-130,-120,-120,,,,,,,,+100,+110,+100,,-105,,+110,+100,-104,-104,,,,,,,
2024-04-06,NYM at CIN,NYM,CIN,CIN,4.5,+110,-117,-117,,-120,,-122,-120,-117,-117,,,+105,,,,,-140,-104,-110,,-110,,-104,-110,-107,-107,,,-250,,,,
2024-04-06,NYM at CIN,NYM,CIN,NYM,4.5,+110,-105,-108,,-110,,-108,-105,-112,-112,,,,,,,,-140,-112,-120,,-120,,-115,-125,-112,-112,,,,,,,
2024-04-06,HOU at TEX,HOU,TEX,HOU,4.5,-130,-130,-135,,-130,,-140,-135,-132,-132,,,,,,,,+100,+110,+105,,+100,,+110,+105,+107,+107,,,,,,,
